Bulletin_Nr,Week,Wochenbeginn,Wochenende,Year,PopCity,PopCanton,Deaths,Deaths1000,Influenza_Stadt,IncCIty1000,Influenza_Kanton,IncCanton1000,Andere_Infekt,Total_Aufnahmen,HospInf1000,HospTot1000
1,1,26.12.09,01.01.10,1910,189065,503915,48,0.25,,,,,1,117,0,0.23
2,2,02.01.10,08.01.10,1910,189065,503915,52,0.28,,,,,2,214,0,0.42
3,3,09.01.10,15.01.10,1910,189065,503915,49,0.26,,,,,1,158,0,0.31
4,4,16.01.10,22.01.10,1910,189065,503915,53,0.28,,,,,3,203,0.01,0.4
5,5,23.01.10,29.01.10,1910,189065,503915,58,0.31,,,,,3,187,0.01,0.37
6,6,30.01.10,05.02.10,1910,189065,503915,65,0.34,,,,,1,179,0,0.36
7,7,06.02.10,12.02.10,1910,189065,503915,40,0.21,,,,,1,176,0,0.35
8,8,13.02.10,19.02.10,1910,189065,503915,40,0.21,,,,,2,195,0,0.39
9,9,20.02.10,26.02.10,1910,189065,503915,57,0.3,,,,,1,186,0,0.37
10,10,27.02.10,05.03.10,1910,189065,503915,67,0.35,,,,,1,196,0,0.39
11,11,06.03.10,12.03.10,1910,189065,503915,66,0.35,,,,,3,220,0.01,0.44
12,12,13.03.10,19.03.10,1910,189065,503915,60,0.32,,,,,1,209,0,0.41
13,13,20.03.10,26.03.10,1910,189065,503915,65,0.34,,,,,2,163,0,0.32
14,14,27.03.10,02.04.10,1910,189065,503915,65,0.34,,,,,2,218,0,0.43
15,15,03.04.10,09.04.10,1910,189065,503915,73,0.39,,,,,2,201,0,0.4
16,16,10.04.10,16.04.10,1910,189065,503915,65,0.34,,,,,4,222,0.01,0.44
17,17,17.04.10,23.04.10,1910,189065,503915,45,0.24,,,,,1,203,0,0.4
18,18,24.04.10,30.04.10,1910,189065,503915,50,0.26,,,,,1,204,0,0.4
19,19,01.05.10,07.05.10,1910,189065,503915,62,0.33,,,,,3,152,0.01,0.3
20,20,08.05.10,14.05.10,1910,189065,503915,48,0.25,,,,,0,208,0,0.41
21,21,15.05.10,21.05.10,1910,189065,503915,74,0.39,,,,,2,190,0,0.38
22,22,22.05.10,28.05.10,1910,189065,503915,59,0.31,,,,,2,215,0,0.43
23,23,29.05.10,04.06.10,1910,189065,503915,59,0.31,,,,,4,213,0.01,0.42
24,24,05.06.10,11.06.10,1910,189065,503915,36,0.19,,,,,3,204,0.01,0.4
25,25,12.06.10,18.06.10,1910,189065,503915,46,0.24,,,,,8,210,0.02,0.42
26,26,19.06.10,25.06.10,1910,189065,503915,54,0.29,,,,,1,174,0,0.35
27,27,26.06.10,02.07.10,1910,189065,503915,39,0.21,,,,,0,191,0,0.38
28,28,03.07.10,09.07.10,1910,189065,503915,56,0.3,,,,,1,181,0,0.36
29,29,10.07.10,16.07.10,1910,189065,503915,47,0.25,,,,,0,211,0,0.42
30,30,17.07.10,23.07.10,1910,189065,503915,56,0.3,,,,,1,194,0,0.38
